soil,season,recommended_crop
laterite,summer,Cashew
laterite,monsoon,Rubber
black,summer,Cotton
laterite,winter,Tea
sandy,monsoon,Millets
sandy,monsoon,Millets
black,monsoon,Soybean
red,summer,Groundnut
clay,winter,Barley
red,winter,Tobacco
alluvial,summer,Rice
loamy,winter,Wheat
red,summer,Groundnut
alluvial,summer,Rice
loamy,monsoon,Paddy
sandy,monsoon,Millets
clay,monsoon,Jute
red,winter,Tobacco
laterite,winter,Tea
sandy,monsoon,Millets
alluvial,summer,Rice
sandy,summer,Groundnut
sandy,monsoon,Millets
black,summer,Cotton
laterite,winter,Tea
alluvial,summer,Rice
alluvial,winter,Wheat
clay,winter,Barley
loamy,winter,Wheat
black,winter,Linseed
alluvial,monsoon,Jute
alluvial,monsoon,Jute
alluvial,summer,Rice
laterite,monsoon,Rubber
red,summer,Groundnut
alluvial,winter,Wheat
alluvial,winter,Wheat
red,winter,Tobacco
red,winter,Tobacco
alluvial,winter,Wheat
black,monsoon,Soybean
clay,winter,Barley
alluvial,winter,Wheat
clay,winter,Barley
alluvial,winter,Wheat
laterite,monsoon,Rubber
red,monsoon,Ragi
alluvial,summer,Rice
red,summer,Groundnut
black,winter,Linseed
laterite,summer,Cashew
clay,summer,Rice
alluvial,summer,Rice
loamy,summer,Corn
laterite,summer,Cashew
loamy,summer,Corn
laterite,summer,Cashew
loamy,monsoon,Paddy
sandy,monsoon,Millets
loamy,monsoon,Paddy
sandy,summer,Groundnut
sandy,summer,Groundnut
clay,monsoon,Jute
clay,summer,Rice
alluvial,monsoon,Jute
loamy,winter,Wheat
loamy,monsoon,Paddy
laterite,winter,Tea
black,monsoon,Soybean
alluvial,winter,Wheat
sandy,monsoon,Millets
loamy,monsoon,Paddy
black,monsoon,Soybean
red,monsoon,Ragi
loamy,summer,Corn
clay,monsoon,Jute
laterite,winter,Tea
laterite,monsoon,Rubber
loamy,monsoon,Paddy
laterite,winter,Tea
clay,summer,Rice
sandy,monsoon,Millets
laterite,summer,Cashew
alluvial,summer,Rice
alluvial,winter,Wheat
black,monsoon,Soybean
laterite,summer,Cashew
laterite,monsoon,Rubber
black,summer,Cotton
laterite,monsoon,Rubber
sandy,winter,Mustard
alluvial,winter,Wheat
clay,summer,Rice
red,summer,Groundnut
black,winter,Linseed
alluvial,winter,Wheat
red,monsoon,Ragi
clay,monsoon,Jute
alluvial,summer,Rice
laterite,winter,Tea
loamy,summer,Corn
loamy,monsoon,Paddy
red,summer,Groundnut
alluvial,summer,Rice
loamy,monsoon,Paddy
laterite,winter,Tea
sandy,summer,Groundnut
red,summer,Groundnut
loamy,monsoon,Paddy
clay,monsoon,Jute
sandy,winter,Mustard
loamy,summer,Corn
red,summer,Groundnut
clay,winter,Barley
laterite,winter,Tea
sandy,summer,Groundnut
black,summer,Cotton
loamy,monsoon,Paddy
loamy,winter,Wheat
clay,winter,Barley
laterite,summer,Cashew
loamy,summer,Corn
sandy,winter,Mustard
clay,summer,Rice
alluvial,winter,Wheat
red,monsoon,Ragi
alluvial,monsoon,Jute
sandy,monsoon,Millets
loamy,monsoon,Paddy
red,summer,Groundnut
alluvial,winter,Wheat
red,winter,Tobacco
sandy,monsoon,Millets
loamy,summer,Corn
alluvial,monsoon,Jute
red,summer,Groundnut
sandy,monsoon,Millets
alluvial,monsoon,Jute
clay,monsoon,Jute
laterite,monsoon,Rubber
alluvial,monsoon,Jute
alluvial,summer,Rice
loamy,monsoon,Paddy
clay,summer,Rice
sandy,summer,Groundnut
loamy,winter,Wheat
laterite,monsoon,Rubber
red,winter,Tobacco
sandy,monsoon,Millets
alluvial,winter,Wheat
loamy,summer,Corn
clay,summer,Rice
red,summer,Groundnut
black,monsoon,Soybean
laterite,summer,Cashew
loamy,monsoon,Paddy
sandy,monsoon,Millets
alluvial,winter,Wheat
loamy,monsoon,Paddy
loamy,winter,Wheat
alluvial,winter,Wheat
sandy,winter,Mustard
loamy,monsoon,Paddy
loamy,summer,Corn
clay,winter,Barley
clay,winter,Barley
red,monsoon,Ragi
black,summer,Cotton
alluvial,summer,Rice
alluvial,summer,Rice
red,summer,Groundnut
alluvial,monsoon,Jute
sandy,summer,Groundnut
loamy,monsoon,Paddy
sandy,winter,Mustard
laterite,winter,Tea
red,winter,Tobacco
red,winter,Tobacco
black,monsoon,Soybean
red,monsoon,Ragi
sandy,winter,Mustard
black,winter,Linseed
loamy,monsoon,Paddy
loamy,summer,Corn
alluvial,summer,Rice
sandy,monsoon,Millets
loamy,summer,Corn
alluvial,winter,Wheat
black,winter,Linseed
black,winter,Linseed
sandy,summer,Groundnut
black,summer,Cotton
loamy,winter,Wheat
black,monsoon,Soybean
sandy,summer,Groundnut
alluvial,monsoon,Jute
black,summer,Cotton
laterite,summer,Cashew
sandy,winter,Mustard
loamy,winter,Wheat
laterite,winter,Tea
clay,monsoon,Jute
red,winter,Tobacco
laterite,winter,Tea
laterite,winter,Tea
laterite,monsoon,Rubber
clay,winter,Barley
clay,summer,Rice
loamy,summer,Corn
sandy,winter,Mustard
laterite,summer,Cashew
clay,monsoon,Jute
